weight,source,target,hierachy_source,hierachy_target
0.0,MT,7m,0.6062,0.8568
0.0,MT,7B,0.6062,0.8981
1e-05,MT,F2,0.6062,0.9095
0.00022,MT,STPi,0.6062,0.9132
0.0,MT,PROm,0.6062,0.9172
0.0,MT,F7,0.6062,0.9388
0.0,MT,8B,0.6062,0.9537
0.00024,MT,STPr,0.6062,0.9973
0.0,MT,24c,0.6062,1.0
0.0,8m,V1,0.6532,0.0
0.00012,8m,V2,0.6532,0.1752
0.00011,8m,V4,0.6532,0.4201
0.00021,8m,DP,0.6532,0.5842
0.00069,8m,MT,0.6532,0.6062
0.0,8m,8m,0.6532,0.6532
8e-05,8m,5,0.6532,0.6981
0.1836,8m,8l,0.6532,0.7029
0.0,8m,TEO,0.6532,0.7038
5e-05,8m,2,0.6532,0.7059
0.00083,8m,F1,0.6532,0.723
0.03367,8m,STPc,0.6532,0.7522
0.0016,8m,7A,0.6532,0.7709
0.11072,8m,46d,0.6532,0.806
0.00209,8m,10,0.6532,0.8206
0.09168,8m,9/46v,0.6532,0.8275
0.03741,8m,9/46d,0.6532,0.8334
0.01469,8m,F5,0.6532,0.8379
4e-05,8m,TEpd,0.6532,0.8424
0.00118,8m,PBr,0.6532,0.851
0.00055,8m,7m,0.6532,0.8568
0.00073,8m,7B,0.6532,0.8981
0.02158,8m,F2,0.6532,0.9095
0.01399,8m,STPi,0.6532,0.9132
0.00058,8m,PROm,0.6532,0.9172
0.10638,8m,F7,0.6532,0.9388
0.01721,8m,8B,0.6532,0.9537
0.00143,8m,STPr,0.6532,0.9973
0.00237,8m,24c,0.6532,1.0
0.0,5,V1,0.6981,0.0
0.0,5,V2,0.6981,0.1752
0.0,5,V4,0.6981,0.4201
0.0,5,DP,0.6981,0.5842
0.0,5,MT,0.6981,0.6062
0.0,5,8m,0.6981,0.6532
0.0,5,5,0.6981,0.6981
0.0,5,8l,0.6981,0.7029
0.0,5,TEO,0.6981,0.7038
0.03635,5,2,0.6981,0.7059
0.33687,5,F1,0.6981,0.723
0.0,5,STPc,0.6981,0.7522
0.15056,5,7A,0.6981,0.7709
0.00019,5,46d,0.6981,0.806
0.0,5,10,0.6981,0.8206
0.0,5,9/46v,0.6981,0.8275
0.0,5,9/46d,0.6981,0.8334
0.00684,5,F5,0.6981,0.8379
0.0,5,TEpd,0.6981,0.8424
0.0,5,PBr,0.6981,0.851
0.00182,5,7m,0.6981,0.8568
0.01139,5,7B,0.6981,0.8981
0.11757,5,F2,0.6981,0.9095
0.00201,5,STPi,0.6981,0.9132
0.0,5,PROm,0.6981,0.9172
0.00031,5,F7,0.6981,0.9388
0.0,5,8B,0.6981,0.9537
0.0,5,STPr,0.6981,0.9973
0.0,5,24c,0.6981,1.0
8e-05,8l,V1,0.7029,0.0
0.00357,8l,V2,0.7029,0.1752
0.01278,8l,V4,0.7029,0.4201
0.0006,8l,DP,0.7029,0.5842
0.02135,8l,MT,0.7029,0.6062
0.41542,8l,8m,0.7029,0.6532
6e-05,8l,5,0.7029,0.6981
0.0,8l,8l,0.7029,0.7029
0.00147,8l,TEO,0.7029,0.7038
0.0002,8l,2,0.7029,0.7059
0.00141,8l,F1,0.7029,0.723
0.01154,8l,STPc,0.7029,0.7522
0.00176,8l,7A,0.7029,0.7709
0.03897,8l,46d,0.7029,0.806
0.00053,8l,10,0.7029,0.8206
0.02475,8l,9/46v,0.7029,0.8275
0.01015,8l,9/46d,0.7029,0.8334
0.01266,8l,F5,0.7029,0.8379
0.00015,8l,TEpd,0.7029,0.8424
0.00084,8l,PBr,0.7029,0.851
0.00012,8l,7m,0.7029,0.8568
3e-05,8l,7B,0.7029,0.8981
0.01899,8l,F2,0.7029,0.9095
0.00587,8l,STPi,0.7029,0.9132
0.00175,8l,PROm,0.7029,0.9172
0.02607,8l,F7,0.7029,0.9388
0.02061,8l,8B,0.7029,0.9537
0.00112,8l,STPr,0.7029,0.9973
0.00243,8l,24c,0.7029,1.0
0.0,TEO,V1,0.7038,0.0
0.02462,TEO,V2,0.7038,0.1752
0.25587,TEO,V4,0.7038,0.4201
0.00117,TEO,DP,0.7038,0.5842
0.0244,TEO,MT,0.7038,0.6062
0.0,TEO,8m,0.7038,0.6532
3e-05,TEO,5,0.7038,0.6981
0.00608,TEO,8l,0.7038,0.7029
0.0,TEO,TEO,0.7038,0.7038
4e-05,TEO,2,0.7038,0.7059
0.0,TEO,F1,0.7038,0.723
2e-05,TEO,STPc,0.7038,0.7522
0.00046,TEO,7A,0.7038,0.7709
1e-05,TEO,46d,0.7038,0.806
0.0,TEO,10,0.7038,0.8206
0.00039,TEO,9/46v,0.7038,0.8275
3e-05,TEO,9/46d,0.7038,0.8334
4e-05,TEO,F5,0.7038,0.8379
0.23132,TEO,TEpd,0.7038,0.8424
5e-05,TEO,PBr,0.7038,0.851
5e-05,TEO,7m,0.7038,0.8568
3e-05,TEO,7B,0.7038,0.8981
1e-05,TEO,F2,0.7038,0.9095
0.00013,TEO,STPi,0.7038,0.9132
1e-05,TEO,PROm,0.7038,0.9172
4e-05,TEO,F7,0.7038,0.9388
1e-05,TEO,8B,0.7038,0.9537
0.00131,TEO,STPr,0.7038,0.9973
0.0,TEO,24c,0.7038,1.0
0.0,2,V1,0.7059,0.0
0.0,2,V2,0.7059,0.1752
0.0,2,V4,0.7059,0.4201
0.0,2,DP,0.7059,0.5842
0.0,2,MT,0.7059,0.6062
0.0,2,8m,0.7059,0.6532
0.0,2,5,0.7059,0.6981
0.0,2,8l,0.7059,0.7029
0.0,2,TEO,0.7059,0.7038
0.0,2,2,0.7059,0.7059
0.00044,2,F1,0.7059,0.723
0.0,2,STPc,0.7059,0.7522
1e-05,2,7A,0.7059,0.7709
1e-05,2,46d,0.7059,0.806
0.0,2,10,0.7059,0.8206
0.01083,2,9/46v,0.7059,0.8275
0.0,2,9/46d,0.7059,0.8334
0.1501,2,F5,0.7059,0.8379
0.0,2,TEpd,0.7059,0.8424
0.0,2,PBr,0.7059,0.851
0.0,2,7m,0.7059,0.8568
0.00207,2,7B,0.7059,0.8981
0.0,2,F2,0.7059,0.9095
0.0,2,STPi,0.7059,0.9132
0.04419,2,PROm,0.7059,0.9172
0.0,2,F7,0.7059,0.9388
0.0,2,8B,0.7059,0.9537
0.0,2,STPr,0.7059,0.9973
0.00025,2,24c,0.7059,1.0
0.0,F1,V1,0.723,0.0
0.0,F1,V2,0.723,0.1752
0.0,F1,V4,0.723,0.4201
0.0,F1,DP,0.723,0.5842
0.0,F1,MT,0.723,0.6062
5e-05,F1,8m,0.723,0.6532
0.10898,F1,5,0.723,0.6981
0.0,F1,8l,0.723,0.7029
0.0,F1,TEO,0.723,0.7038
0.12547,F1,2,0.723,0.7059
0.0,F1,F1,0.723,0.723
9e-05,F1,STPc,0.723,0.7522
0.00036,F1,7A,0.723,0.7709
0.0,F1,46d,0.723,0.806
0.0,F1,10,0.723,0.8206
0.0,F1,9/46v,0.723,0.8275
0.0,F1,9/46d,0.723,0.8334
0.009,F1,F5,0.723,0.8379
0.0,F1,TEpd,0.723,0.8424
0.0,F1,PBr,0.723,0.851
0.0,F1,7m,0.723,0.8568
0.0,F1,7B,0.723,0.8981
0.40205,F1,F2,0.723,0.9095
0.0,F1,STPi,0.723,0.9132
0.00036,F1,PROm,0.723,0.9172
0.00334,F1,F7,0.723,0.9388
0.00036,F1,8B,0.723,0.9537
0.0,F1,STPr,0.723,0.9973
0.00432,F1,24c,0.723,1.0
0.0,STPc,V1,0.7522,0.0
0.0004,STPc,V2,0.7522,0.1752
0.00139,STPc,V4,0.7522,0.4201
0.0002,STPc,DP,0.7522,0.5842
0.00074,STPc,MT,0.7522,0.6062
0.00725,STPc,8m,0.7522,0.6532
3e-05,STPc,5,0.7522,0.6981
0.00051,STPc,8l,0.7522,0.7029
0.00017,STPc,TEO,0.7522,0.7038
7e-05,STPc,2,0.7522,0.7059
0.0,STPc,F1,0.7522,0.723
0.0,STPc,STPc,0.7522,0.7522
0.00145,STPc,7A,0.7522,0.7709
0.00717,STPc,46d,0.7522,0.806
0.00145,STPc,10,0.7522,0.8206
0.0,STPc,9/46v,0.7522,0.8275
0.0023,STPc,9/46d,0.7522,0.8334
0.00104,STPc,F5,0.7522,0.8379
0.00081,STPc,TEpd,0.7522,0.8424
0.02015,STPc,PBr,0.7522,0.851
