weight,source,target,hierachy_source,hierachy_target
0.0,STPi,V1,0.9132,0.0
0.0,STPi,V2,0.9132,0.1752
0.0,STPi,V4,0.9132,0.4201
0.0,STPi,DP,0.9132,0.5842
4e-05,STPi,MT,0.9132,0.6062
4e-05,STPi,8m,0.9132,0.6532
0.0,STPi,5,0.9132,0.6981
0.0,STPi,8l,0.9132,0.7029
0.0,STPi,TEO,0.9132,0.7038
0.0,STPi,2,0.9132,0.7059
0.0,STPi,F1,0.9132,0.723
0.22799,STPi,STPc,0.9132,0.7522
0.0,STPi,7A,0.9132,0.7709
0.0035,STPi,46d,0.9132,0.806
0.02326,STPi,10,0.9132,0.8206
0.0,STPi,9/46v,0.9132,0.8275
0.0002,STPi,9/46d,0.9132,0.8334
0.0,STPi,F5,0.9132,0.8379
0.00015,STPi,TEpd,0.9132,0.8424
0.33477,STPi,PBr,0.9132,0.851
0.0,STPi,7m,0.9132,0.8568
0.0,STPi,7B,0.9132,0.8981
0.0,STPi,F2,0.9132,0.9095
0.0,STPi,STPi,0.9132,0.9132
0.0,STPi,PROm,0.9132,0.9172
8e-05,STPi,F7,0.9132,0.9388
0.00021,STPi,8B,0.9132,0.9537
0.02495,STPi,STPr,0.9132,0.9973
0.00014,STPi,24c,0.9132,1.0
0.0,PROm,V1,0.9172,0.0
0.0,PROm,V2,0.9172,0.1752
0.0,PROm,V4,0.9172,0.4201
0.0,PROm,DP,0.9172,0.5842
0.0,PROm,MT,0.9172,0.6062
0.0,PROm,8m,0.9172,0.6532
0.0,PROm,5,0.9172,0.6981
0.0,PROm,8l,0.9172,0.7029
0.0,PROm,TEO,0.9172,0.7038
0.02752,PROm,2,0.9172,0.7059
7e-05,PROm,F1,0.9172,0.723
0.0,PROm,STPc,0.9172,0.7522
2e-05,PROm,7A,0.9172,0.7709
1e-05,PROm,46d,0.9172,0.806
0.0,PROm,10,0.9172,0.8206
0.01808,PROm,9/46v,0.9172,0.8275
0.0,PROm,9/46d,0.9172,0.8334
0.31432,PROm,F5,0.9172,0.8379
0.0,PROm,TEpd,0.9172,0.8424
0.0,PROm,PBr,0.9172,0.851
0.0,PROm,7m,0.9172,0.8568
0.00111,PROm,7B,0.9172,0.8981
1e-05,PROm,F2,0.9172,0.9095
0.0,PROm,STPi,0.9172,0.9132
0.0,PROm,PROm,0.9172,0.9172
0.0,PROm,F7,0.9172,0.9388
0.0,PROm,8B,0.9172,0.9537
0.0,PROm,STPr,0.9172,0.9973
0.00246,PROm,24c,0.9172,1.0
0.0,F7,V1,0.9388,0.0
9e-05,F7,V2,0.9388,0.1752
0.0,F7,V4,0.9388,0.4201
0.0,F7,DP,0.9388,0.5842
0.0,F7,MT,0.9388,0.6062
0.03691,F7,8m,0.9388,0.6532
5e-05,F7,5,0.9388,0.6981
0.00313,F7,8l,0.9388,0.7029
5e-05,F7,TEO,0.9388,0.7038
0.0,F7,2,0.9388,0.7059
0.00032,F7,F1,0.9388,0.723
0.00184,F7,STPc,0.9388,0.7522
0.00219,F7,7A,0.9388,0.7709
0.0009,F7,46d,0.9388,0.806
0.00149,F7,10,0.9388,0.8206
0.00378,F7,9/46v,0.9388,0.8275
0.02507,F7,9/46d,0.9388,0.8334
0.00203,F7,F5,0.9388,0.8379
0.0,F7,TEpd,0.9388,0.8424
0.00255,F7,PBr,0.9388,0.851
0.00562,F7,7m,0.9388,0.8568
6e-05,F7,7B,0.9388,0.8981
0.09896,F7,F2,0.9388,0.9095
0.01163,F7,STPi,0.9388,0.9132
0.00018,F7,PROm,0.9388,0.9172
0.0,F7,F7,0.9388,0.9388
0.10377,F7,8B,0.9388,0.9537
0.00657,F7,STPr,0.9388,0.9973
0.09354,F7,24c,0.9388,1.0
0.0,8B,V1,0.9537,0.0
0.0,8B,V2,0.9537,0.1752
1e-05,8B,V4,0.9537,0.4201
0.0001,8B,DP,0.9537,0.5842
0.0,8B,MT,0.9537,0.6062
0.0491,8B,8m,0.9537,0.6532
0.0,8B,5,0.9537,0.6981
0.00094,8B,8l,0.9537,0.7029
0.0,8B,TEO,0.9537,0.7038
0.0,8B,2,0.9537,0.7059
1e-05,8B,F1,0.9537,0.723
5e-05,8B,STPc,0.9537,0.7522
0.00089,8B,7A,0.9537,0.7709
0.03996,8B,46d,0.9537,0.806
0.13197,8B,10,0.9537,0.8206
0.00015,8B,9/46v,0.9537,0.8275
0.087,8B,9/46d,0.9537,0.8334
1e-05,8B,F5,0.9537,0.8379
0.0,8B,TEpd,0.9537,0.8424
0.00035,8B,PBr,0.9537,0.851
0.00265,8B,7m,0.9537,0.8568
0.0,8B,7B,0.9537,0.8981
9e-05,8B,F2,0.9537,0.9095
0.01438,8B,STPi,0.9537,0.9132
0.0,8B,PROm,0.9537,0.9172
0.15123,8B,F7,0.9537,0.9388
0.0,8B,8B,0.9537,0.9537
0.01914,8B,STPr,0.9537,0.9973
0.09371,8B,24c,0.9537,1.0
0.0,STPr,V1,0.9973,0.0
1e-05,STPr,V2,0.9973,0.1752
0.0,STPr,V4,0.9973,0.4201
4e-05,STPr,DP,0.9973,0.5842
2e-05,STPr,MT,0.9973,0.6062
0.00035,STPr,8m,0.9973,0.6532
0.0,STPr,5,0.9973,0.6981
5e-05,STPr,8l,0.9973,0.7029
1e-05,STPr,TEO,0.9973,0.7038
0.0,STPr,2,0.9973,0.7059
1e-05,STPr,F1,0.9973,0.723
0.03026,STPr,STPc,0.9973,0.7522
0.00019,STPr,7A,0.9973,0.7709
0.0101,STPr,46d,0.9973,0.806
0.03296,STPr,10,0.9973,0.8206
0.00054,STPr,9/46v,0.9973,0.8275
0.0001,STPr,9/46d,0.9973,0.8334
0.0,STPr,F5,0.9973,0.8379
0.00096,STPr,TEpd,0.9973,0.8424
0.19856,STPr,PBr,0.9973,0.851
0.0,STPr,7m,0.9973,0.8568
0.0,STPr,7B,0.9973,0.8981
2e-05,STPr,F2,0.9973,0.9095
0.24014,STPr,STPi,0.9973,0.9132
0.0,STPr,PROm,0.9973,0.9172
5e-05,STPr,F7,0.9973,0.9388
0.0006,STPr,8B,0.9973,0.9537
0.0,STPr,STPr,0.9973,0.9973
0.00027,STPr,24c,0.9973,1.0
0.0,24c,V1,1.0,0.0
0.0,24c,V2,1.0,0.1752
0.0,24c,V4,1.0,0.4201
0.0,24c,DP,1.0,0.5842
0.0,24c,MT,1.0,0.6062
3e-05,24c,8m,1.0,0.6532
0.02557,24c,5,1.0,0.6981
8e-05,24c,8l,1.0,0.7029
0.0,24c,TEO,1.0,0.7038
0.00224,24c,2,1.0,0.7059
0.01117,24c,F1,1.0,0.723
0.00015,24c,STPc,1.0,0.7522
0.00796,24c,7A,1.0,0.7709
0.00048,24c,46d,1.0,0.806
0.00015,24c,10,1.0,0.8206
0.00075,24c,9/46v,1.0,0.8275
0.00511,24c,9/46d,1.0,0.8334
0.02213,24c,F5,1.0,0.8379
0.0,24c,TEpd,1.0,0.8424
0.0,24c,PBr,1.0,0.851
0.01952,24c,7m,1.0,0.8568
0.00432,24c,7B,1.0,0.8981
0.04911,24c,F2,1.0,0.9095
4e-05,24c,STPi,1.0,0.9132
0.0022,24c,PROm,1.0,0.9172
0.08047,24c,F7,1.0,0.9388
0.04287,24c,8B,1.0,0.9537
3e-05,24c,STPr,1.0,0.9973
0.0,24c,24c,1.0,1.0
